tipo_de_api,tip_execucao,qtd_itens,tamanho_query,tempo_de_resposta,tamanho_body_resposta
rest,paralelo,20,64,1.167063,102666
rest,paralelo,40,64,1.406228,205828
rest,paralelo,60,64,1.972614,306105
rest,paralelo,80,64,2.385547,407735
rest,paralelo,100,65,2.798029,508819
graphql,paralelo,20,198,0.809486,2827
graphql,paralelo,40,198,1.145285,5675
graphql,paralelo,60,198,1.226341,8457
graphql,paralelo,80,198,1.697114,11069
graphql,paralelo,100,199,1.987036,13903
graphql,paralelo,20,218,0.56604,32
graphql,paralelo,40,218,0.607595,32
graphql,paralelo,60,218,0.577376,32
graphql,paralelo,80,218,0.573175,32
graphql,paralelo,100,219,0.611025,32
graphql,paralelo,20,229,0.551677,32
graphql,paralelo,40,229,0.554091,32
graphql,paralelo,60,229,0.581068,32
graphql,paralelo,80,229,0.622212,32
graphql,paralelo,100,230,0.556755,32
graphql,paralelo,20,238,0.57135,32
graphql,paralelo,40,238,0.535038,32
graphql,paralelo,60,238,0.691027,32
graphql,paralelo,80,238,0.716388,32
graphql,paralelo,100,239,0.692843,32
rest,sequencial,20,24,1.02919,103493
rest,sequencial,40,24,1.452304,207283
rest,sequencial,60,24,1.920894,310012
rest,sequencial,80,24,2.482228,409725
rest,sequencial,100,25,2.83228,514141
rest,sequencial,20,44,1.107536,102666
rest,sequencial,40,44,1.728174,205828
rest,sequencial,60,44,2.106346,306105
rest,sequencial,80,44,2.354012,407735
rest,sequencial,100,45,2.694868,508819
rest,sequencial,20,55,1.122195,102666
rest,sequencial,40,55,1.567932,205828
rest,sequencial,60,55,2.089804,306105
rest,sequencial,80,55,2.288504,407735
rest,sequencial,100,56,2.818671,508819
rest,sequencial,20,64,1.250989,102666
rest,sequencial,40,64,1.81795,205828
rest,sequencial,60,64,2.030204,306105
rest,sequencial,80,64,2.493701,407735
rest,sequencial,100,65,3.656166,508819
graphql,sequencial,20,198,1.065005,2827
graphql,sequencial,40,198,1.30843,5675
graphql,sequencial,60,198,1.349312,8457
graphql,sequencial,80,198,1.565531,11069
graphql,sequencial,100,199,1.806407,13903
graphql,sequencial,20,218,0.583632,32
graphql,sequencial,40,218,0.55633,32
graphql,sequencial,60,218,0.586388,32
graphql,sequencial,80,218,0.551207,32
graphql,sequencial,100,219,0.58963,32
graphql,sequencial,20,229,0.574044,32
graphql,sequencial,40,229,0.63536,32
graphql,sequencial,60,229,0.582685,32
graphql,sequencial,80,229,0.55015,32
graphql,sequencial,100,230,0.589616,32
graphql,sequencial,20,238,0.637555,32
graphql,sequencial,40,238,0.567801,32
graphql,sequencial,60,238,0.565519,32
graphql,sequencial,80,238,0.581346,32
graphql,sequencial,100,239,0.621979,32
rest,paralelo,20,24,1.293678,103493
rest,paralelo,40,24,1.794328,207283
rest,paralelo,60,24,2.316683,310012
rest,paralelo,80,24,2.726181,409725
rest,paralelo,100,25,2.827404,514141
